order_id,customer_id,order_date,product_name,category,quantity,unit_price,discount_pct,final_amount,payment_method,device_type,city,order_status
ORD10001,CUST01729,2024-04-24,Self Help,Books,3,260.25,0,780.75,Credit Card,Mobile,Mumbai,Delivered
ORD10002,CUST02414,2024-08-23,Smartwatch,Electronics,5,5093.95,0,25469.75,Net Banking,Desktop,Indore,Delivered
ORD10003,CUST00397,2024-03-25,Earphones,Electronics,3,2335.91,5,6657.34,UPI,Desktop,Bhopal,Delivered
ORD10004,CUST01482,2024-02-13,Water Bottle,Home & Kitchen,4,763.99,15,2597.57,Credit Card,Tablet,Hyderabad,Delivered
ORD10005,CUST01858,2024-12-28,Self Help,Books,2,269.62,5,512.28,Debit Card,Tablet,Bhopal,Delivered
ORD10006,CUST02188,2024-10-22,Cookware Set,Home & Kitchen,2,1799.49,5,3419.03,Credit Card,Tablet,Hyderabad,Delivered
ORD10007,CUST00132,2024-10-27,Handbag,Fashion,5,2392.71,0,11963.55,Credit Card,Desktop,Kolkata,Returned
ORD10008,CUST01880,2024-04-16,Bedsheet,Home & Kitchen,5,568.79,5,2701.75,COD,Mobile,Pune,Returned
ORD10009,CUST00567,2024-10-14,Dress,Fashion,5,2386.97,5,11338.11,Net Banking,Tablet,Ahmedabad,Delivered
ORD10010,CUST01918,2024-11-14,Smartphone,Electronics,2,40833.09,0,81666.18,Net Banking,Tablet,Pune,Delivered
ORD10011,CUST00648,2024-10-25,Yoga Mat,Sports,1,1011.26,15,859.57,UPI,Desktop,Mumbai,Delivered
ORD10012,CUST00627,2024-12-28,Biography,Books,2,784.94,15,1334.4,UPI,Desktop,Indore,Delivered
ORD10013,CUST00238,2024-02-12,T-Shirt,Fashion,4,718.26,0,2873.04,UPI,Mobile,Coimbatore,Returned
ORD10014,CUST01947,2024-12-18,Dumbbells,Sports,4,987.44,0,3949.76,Debit Card,Tablet,Bengaluru,Returned
ORD10015,CUST01850,2024-10-13,Vacuum Cleaner,Home & Kitchen,5,11679.27,0,58396.35,UPI,Mobile,Hyderabad,Delivered
ORD10016,CUST00242,2024-04-08,Jeans,Fashion,5,1373.75,15,5838.44,Credit Card,Mobile,Delhi,Delivered
ORD10017,CUST02339,2024-09-07,Smart TV,Electronics,2,23542.87,5,44731.45,Net Banking,Tablet,Ahmedabad,Returned
ORD10018,CUST00222,2024-02-14,Handbag,Fashion,2,4190.49,0,8380.98,UPI,Tablet,Lucknow,Delivered
ORD10019,CUST00752,2024-04-07,Self Help,Books,3,276.28,0,828.84,Net Banking,Desktop,Ahmedabad,Delivered
ORD10020,CUST00969,2024-01-18,Jeans,Fashion,5,1552.32,0,7761.6,Credit Card,Mobile,Kolkata,Delivered
ORD10021,CUST01864,2024-03-01,Nail Polish,Beauty,4,163.12,0,652.48,COD,Desktop,Kolkata,Delivered
ORD10022,CUST00235,2024-12-19,Comic Book,Books,3,203.18,0,609.54,Net Banking,Mobile,Surat,Delivered
ORD10023,CUST00964,2024-11-03,Perfume,Beauty,5,641.2,0,3206.0,Net Banking,Desktop,Delhi,Delivered
ORD10024,CUST01069,2024-02-22,Cycling Gloves,Sports,1,488.46,20,390.77,Net Banking,Mobile,Lucknow,Delivered
ORD10025,CUST00298,2024-10-10,Science Book,Books,4,551.88,0,2207.52,COD,Mobile,Ahmedabad,Delivered
ORD10026,CUST01514,2024-04-12,Dumbbells,Sports,2,960.17,15,1632.29,Credit Card,Desktop,Bengaluru,Returned
